ISIN,TckrSymb
INE466L01038,360ONE
INE470A01017,3MINDIA
INE117A01022,ABB
INE012A01025,ACC
INE622W01025,ACMESOLAR
INE212H01026,AIAENG
INE702C01027,APLAPOLLO
INE949L01017,AUBANK
INE699H01024,AWL
INE883F01010,AADHARHFC
INE769A01020,AARTIIND
INE216P01012,AAVAS
INE358A01014,ABBOTINDIA
INE731H01025,ACE
INE931S01010,ADANIENSOL
INE423A01024,ADANIENT
INE364U01010,ADANIGREEN
INE742F01042,ADANIPORTS
INE814H01029,ADANIPOWER
INE399L01023,ATGL
INE674K01013,ABCAPITAL
INE647O01011,ABFRL
INE14LE01019,ABLBL
INE055A01016,ABREL
INE404A01024,ABSLAMC
INE208C01025,AEGISLOG
INE0INX01018,AEGISVOPAK
INE101I01011,AFCONS
INE00WC01027,AFFLE
INE031B01049,AJANTPHARM
INE09XN01023,AKUMS
INE133A01011,AKZOINDIA
INE901L01018,APLLTD
INE540L01014,ALKEM
INE150B01039,ALKYLAMINE
INE270A01029,ALOKINDS
INE885A01032,ARE&M
INE371P01015,AMBER
INE079A01024,AMBUJACEM
INE463V01026,ANANDRATHI
INE242C01024,ANANTRAJ
INE732I01013,ANGELONE
INE372A01015,APARINDS
INE437A01024,APOLLOHOSP
INE438A01022,APOLLOTYRE
INE852O01025,APTUS
INE439A01020,ASAHIINDIA
INE208A01029,ASHOKLEY
INE021A01026,ASIANPAINT
INE914M01019,ASTERDM
INE203A01020,ASTRAZEN
INE006I01046,ASTRAL
INE0LEZ01016,ATHERENERG
INE100A01010,ATUL
INE406A01037,AUROPHARMA
INE206F01022,AIIL
INE192R01011,DMART
INE238A01034,AXISBANK
INE373A01013,BASF
INE258A01024,BEML
INE153T01027,BLS
INE118H01025,BSE
INE917I01010,BAJAJ-AUTO
INE296A01032,BAJFINANCE
INE918I01026,BAJAJFINSV
INE118A01012,BAJAJHLDNG
INE377Y01014,BAJAJHFL
INE787D01026,BALKRISIND
INE119A01028,BALRAMCHIN
INE545U01014,BANDHANBNK
INE028A01039,BANKBARODA
INE084A01016,BANKINDIA
INE457A01014,MAHABANK
INE176A01028,BATAINDIA
INE462A01022,BAYERCROP
INE463A01038,BERGEPAINT
INE171Z01026,BDL
INE263A01024,BEL
INE465A01025,BHARATFORG
INE257A01026,BHEL
INE029A01011,BPCL
INE397D01024,BHARTIARTL
INE343G01021,BHARTIHEXA
INE00E101023,BIKAJI
INE376G01013,BIOCON
INE836A01035,BSOFT
INE233B01017,BLUEDART
INE0KBH01020,BLUEJET
INE472A01039,BLUESTARCO
INE050A01025,BBTC
INE323A01026,BOSCHLTD
INE02RE01045,FIRSTCRY
INE791I01019,BRIGADE
INE216A01030,BRITANNIA
INE0BV301023,MAPMYINDIA
INE421D01022,CCL
INE486A01021,CESC
INE067A01029,CGPOWER
INE007A01025,CRISIL
INE278Y01022,CAMPUS
INE477A01020,CANFINHOME
INE476A01022,CANBK
INE475E01026,CAPLIPOINT
INE180C01042,CGCL
INE120A01034,CARBORUNIV
INE172A01027,CASTROLIND
INE482A01020,CEATLTD
INE483A01010,CENTRALBK
INE736A01011,CDSL
INE348B01021,CENTURYPLY
INE739E01017,CERA
INE427F01016,CHALET
INE085A01013,CHAMBLFERT
INE178A01016,CHENNPETRO
INE102B01014,CHOICEIN
INE149A01033,CHOLAHLDNG
INE121A01024,CHOLAFIN
INE059A01026,CIPLA
INE491A01021,CUB
INE227W01023,CLEAN
INE522F01014,COALINDIA
INE704P01025,COCHINSHIP
INE591G01025,COFORGE
INE03QK01018,COHANCE
INE259A01022,COLPAL
INE596I01012,CAMS
INE338H01029,CONCORDBIO
INE111A01025,CONCOR
INE169A01031,COROMANDEL
INE00LO01017,CRAFTSMAN
INE741K01010,CREDITACC
INE299U01018,CROMPTON
INE298A01020,CUMMINSIND
INE136B01020,CYIENT
INE499A01024,DCMSHRIRAM
INE271C01023,DLF
INE321T01012,DOMS
INE016A01026,DABUR
INE00R701025,DALBHARAT
INE0IX101010,DATAPATTNS
INE501A01019,DEEPAKFERT
INE288B01029,DEEPAKNTR
INE148O01028,DELHIVERY
INE872J01023,DEVYANI
INE361B01024,DIVISLAB
INE935N01020,DIXON
INE943P01029,AGARWALEYE
INE600L01024,LALPATHLAB
INE089A01031,DRREDDY
DUM640A01023,DUMMYSKFIN
INE126A01031,EIDPARRY
INE230A01023,EIHOTEL
INE066A01021,EICHERMOT
INE205B01031,ELECON
INE285A01027,ELGIEQUIP
INE548C01032,EMAMILTD
INE168P01015,EMCURE
INE913H01037,ENDURANCE
INE510A01028,ENGINERSIN
INE406M01024,ERIS
INE042A01014,ESCORTS
INE758T01015,ETERNAL
INE302A01020,EXIDEIND
INE388Y01029,NYKAA
INE171A01029,FEDERALBNK
INE188A01015,FACT
INE235A01022,FINCABLES
INE183A01024,FINPIPE
INE684F01012,FSL
INE128S01021,FIVESTAR
INE451A01017,FORCEMOT
INE061F01013,FORTIS
INE129A01019,GAIL
INE200A01026,GVT&D
INE776C01039,GMRAIRPORT
INE382Z01011,GRSE
INE481Y01014,GICRE
INE322A01010,GILLETTE
INE068V01023,GLAND
INE159A01016,GLAXO
INE935A01035,GLENMARK
INE474Q01031,MEDANTA
INE03JT01014,GODIGIT
INE177H01039,GPIL
INE260B01028,GODFRYPHLP
INE850D01014,GODREJAGRO
INE102D01028,GODREJCP
INE233A01035,GODREJIND
INE484J01027,GODREJPROP
INE101D01020,GRANULES
INE371A01025,GRAPHITE
INE047A01021,GRASIM
INE024L01027,GRAVITA
INE017A01032,GESHIP
INE09N301011,FLUOROCHEM
INE844O01030,GUJGASLTD
INE131A01031,GMDCLTD
INE246F01010,GSPL
INE545A01024,HEG
INE292B01021,HBLENGINE
INE860A01027,HCLTECH
INE127D01025,HDFCAMC
INE040A01034,HDFCBANK
INE795G01014,HDFCLIFE
INE548A01028,HFCL
INE419U01012,HAPPSTMNDS
INE176B01034,HAVELLS
INE158A01026,HEROMOTOCO
INE093A01041,HEXT
INE019C01026,HSCL
INE038A01020,HINDALCO
INE066F01020,HAL
INE531E01026,HINDCOPPER
INE094A01015,HINDPETRO
INE030A01027,HINDUNILVR
INE267A01025,HINDZINC
INE07Y701011,POWERINDIA
INE481N01025,HOMEFIRST
INE0J5401028,HONASA
INE671A01010,HONAUT
INE031A01017,HUDCO
INE0V6F01027,HYUNDAI
INE090A01021,ICICIBANK
INE765G01017,ICICIGI
INE726G01019,ICICIPRULI
INE008A01015,IDBI
INE092T01019,IDFCFIRSTB
INE039A01010,IFCI
INE530B01024,IIFL
INE616N01034,INOXINDIA
INE821I01022,IRB
INE962Y01021,IRCON
INE379A01028,ITCHOTELS
INE154A01025,ITC
INE248A01017,ITI
INE065X01017,INDGN
INE383A01012,INDIACEM
INE933S01016,INDIAMART
INE562A01011,INDIANB
INE022Q01020,IEX
INE053A01029,INDHOTEL
INE242A01010,IOC
INE565A01014,IOB
INE335Y01020,IRCTC
INE053F01010,IRFC
INE202E01016,IREDA
INE203G01027,IGL
INE121J01017,INDUSTOWER
INE095A01012,INDUSINDBK
INE663F01032,NAUKRI
INE009A01021,INFY
INE066P01011,INOXWIND
INE306R01017,INTELLECT
INE646L01027,INDIGO
INE0Q9301021,IGIL
INE115Q01022,IKS
INE571A01038,IPCALAB
INE572A01036,JBCHEPHARM
INE823G01014,JKCEMENT
INE927D01051,JBMA
INE573A01042,JKTYRE
INE780C01023,JMFINANCIL
INE121E01018,JSWENERGY
INE880J01026,JSWINFRA
INE019A01038,JSWSTEEL
INE351F01018,JPPOWER
INE168A01041,J&KBANK
INE324A01032,JINDALSAW
INE220G01021,JSL
INE749A01030,JINDALSTEL
INE758E01017,JIOFIN
INE797F01020,JUBLFOOD
INE0BY001018,JUBLINGREA
INE700A01033,JUBLPHARMA
INE209L01016,JWL
INE668F01031,JYOTHYLAB
INE980O01024,JYOTICNC
INE930H01031,KPRMILL
INE878B01027,KEI
INE04I401011,KPITTECH
INE999A01023,KSB
INE217B01036,KAJARIACER
INE220B01022,KPIL
INE303R01014,KALYANKJIL
INE036D01028,KARURVYSYA
INE918Z01012,KAYNES
INE389H01022,KEC
INE138Y01010,KFINTECH
INE732A01036,KIRLOSBROS
INE146L01010,KIRLOSENG
INE237A01028,KOTAKBANK
INE967H01025,KIMS
INE498L01015,LTF
INE010V01017,LTTS
INE115A01026,LICHSGFIN
INE818H01020,LTFOODS
INE214T01019,LTIM
INE018A01030,LT
INE0I7C01011,LATENTVIEW
INE947Q01028,LAURUSLABS
INE0AQ201015,THELEELA
INE970X01018,LEMONTREE
INE0J1Y01017,LICI
INE473A01011,LINDEINDIA
INE281B01032,LLOYDSME
INE670K01029,LODHA
INE326A01037,LUPIN
INE123F01029,MMTC
INE883A01011,MRF
INE002S01010,MGL
INE288A01013,MAHSCOOTER
INE271B01025,MAHSEAMLES
INE774D01024,M&MFIN
INE101A01026,M&M
INE522D01027,MANAPPURAM
INE103A01014,MRPL
INE634S01028,MANKIND
INE196A01026,MARICO
INE585B01010,MARUTI
INE180A01020,MFSL
INE027H01010,MAXHEALTH
INE249Z01020,MAZDOCK
INE112L01020,METROPOLIS
INE842C01021,MINDACORP
INE0FS801015,MSUMI
INE338I01027,MOTILALOFS
INE356A01018,MPHASIS
INE745G01035,MCX
INE414G01012,MUTHOOTFIN
INE987B01026,NATCOPHARM
INE095N01031,NBCC
INE868B01028,NCC
INE848E01016,NHPC
INE589A01014,NLCINDIA
INE584A01023,NMDC
INE0NNS01018,NSLNISP
INE0ONG01011,NTPCGREEN
INE733E01010,NTPC
INE410P01011,NH
INE139A01034,NATIONALUM
INE725A01030,NAVA
INE048G01026,NAVINFLUOR
INE239A01024,NESTLEIND
INE0NT901020,NETWEB
INE794A01010,NEULANDLAB
INE619B01017,NEWGEN
INE298J01013,NAM-INDIA
INE995S01015,NIVABUPA
INE531F01015,NUVAMA
INE118D01016,NUVOCO
INE093I01010,OBEROIRLTY
INE213A01029,ONGC
INE274J01014,OIL
INE0LXG01040,OLAELEC
INE260D01016,OLECTRA
INE982J01020,PAYTM
INE013P01021,ONESOURCE
INE881D01027,OFSS
INE417T01026,POLICYBZR
INE602A01031,PCBL
INE457L01029,PGEL
INE603J01030,PIIND
INE572E01012,PNBHOUSING
INE596F01018,PTCIL
INE191H01014,PVRINOX
INE761H01022,PAGEIND
INE619A01035,PATANJALI
INE262H01021,PERSISTENT
INE347G01014,PETRONET
INE182A01018,PFIZER
INE211B01039,PHOENIXLTD
INE318A01026,PIDILITIND
INE0DK501011,PPLPHARMA
INE205C01021,POLYMED
INE455K01017,POLYCAB
INE511C01022,POONAWALLA
INE134E01011,PFC
INE752E01010,POWERGRID
INE074A01025,PRAJIND
INE0BS701011,PREMIERENE
INE811K01011,PRESTIGE
INE179A01014,PGHH
INE160A01022,PNB
INE777K01022,RRKABEL
INE976G01028,RBLBANK
INE020B01018,RECLTD
INE743M01012,RHIM
INE320J01015,RITES
INE944F01028,RADICO
INE415G01027,RVNL
INE0DD101019,RAILTEL
INE961O01016,RAINBOW
INE399G01023,RKFORGE
INE027A01015,RCF
INE891D01026,REDINGTON
INE002A01018,RELIANCE
INE036A01016,RELINFRA
INE614G01033,RPOWER
INE423Y01016,SBFC
INE018E01016,SBICARD
INE123W01016,SBILIFE
INE002L01015,SJVN
INE640A01023,SKFINDIA
INE647A01010,SRF
INE0W2G01015,SAGILITY
INE570L01029,SAILIFE
INE148I01020,SAMMAANCAP
INE775A01035,MOTHERSON
INE806T01020,SAPPHIRE
INE385C01021,SARDAEN
INE979A01025,SAREGAMA
INE513A01022,SCHAEFFLER
INE839M01018,SCHNEIDER
INE109A01011,SCI
INE070A01015,SHREECEM
INE721A01047,SHRIRAMFIN
INE810G01011,SHYAMMETL
INE1NPP01017,ENRIN
INE003A01024,SIEMENS
INE903U01023,SIGNATURE
INE671H01015,SOBHA
INE343H01029,SOLARINDS
INE073K01018,SONACOMS
INE269A01021,SONATSOFTW
INE575P01011,STARHEALTH
INE062A01020,SBIN
INE114A01011,SAIL
INE258G01013,SUMICHEM
INE044A01036,SUNPHARMA
INE424H01027,SUNTV
INE660A01013,SUNDARMFIN
INE387A01021,SUNDRMFAST
INE195A01028,SUPREMEIND
INE040H01021,SUZLON
INE665A01038,SWANCORP
INE00H001014,SWIGGY
INE398R01022,SYNGENE
INE0DYJ01015,SYRMA
INE673O01025,TBOTEK
INE494B01023,TVSMOTOR
INE092A01019,TATACHEM
INE151A01013,TATACOMM
INE467B01029,TCS
INE192A01025,TATACONSUM
INE670A01012,TATAELXSI
INE672A01026,TATAINVEST
INE155A01022,TMPV
INE245A01021,TATAPOWER
INE081A01020,TATASTEEL
INE142M01025,TATATECH
INE517B01013,TTML
INE669C01036,TECHM
INE285K01026,TECHNOE
INE010J01012,TEJASNET
INE470Y01017,NIACL
INE331A01037,RAMCOCEM
INE152A01029,THERMAX
INE325A01013,TIMKEN
INE615H01020,TITAGARH
INE280A01028,TITAN
INE685A01028,TORNTPHARM
INE813H01021,TORNTPOWER
INE763I01026,TARIL
INE849A01020,TRENT
INE064C01022,TRIDENT
INE256C01024,TRIVENI
INE152M01016,TRITURBINE
INE974X01010,TIINDIA
INE691A01018,UCOBANK
INE405E01023,UNOMINDA
INE628A01036,UPL
INE094J01016,UTIAMC
INE481G01011,ULTRACEMCO
INE692A01016,UNIONBANK
INE686F01025,UBL
INE854D01024,UNITDSPR
INE228A01035,USHAMART
INE951I01027,VGUARD
INE879I01012,DBREALTY
INE825A01020,VTL
INE200M01039,VBL
INE825V01034,MANYAVAR
INE205A01025,VEDL
INE781S01027,VENTIVE
INE043W01024,VIJAYA
INE01EA01019,VMM
INE669E01016,IDEA
INE226A01021,VOLTAS
INE377N01017,WAAREEENER
INE191B01025,WELCORP
INE192B01031,WELSPUNLIV
INE716A01013,WHIRLPOOL
INE075A01022,WIPRO
INE049B01025,WOCKPHARMA
INE528G01035,YESBANK
INE342J01019,ZFCVINDIA
INE256A01028,ZEEL
INE251B01027,ZENTEC
INE520A01027,ZENSARTECH
INE010B01027,ZYDUSLIFE
INE738I01010,ECLERX
